"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
study_number,inform_health_facilitybased_cause_of_death_event_c,,text,"Study Number:",,,,,,,,,,,,,
child_identifier,inform_health_facilitybased_cause_of_death_event_c,,text,"Child Identifier: ",,,,,,,,,,,,,
background,inform_health_facilitybased_cause_of_death_event_c,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: justify;"">Background: <span style=""font-weight: normal;"">The World Health Organization categorizes cause of death in two ways:</span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Immediate Cause of Death: Defined as the terminal diagnosis resulting in death (e.g. hypoxemia or respiratory arrest as immediate cause of death based upon and underlying cause of death of pneumonia).</span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Underlying Cause of Death: Defined as the disease or injury that initiated the events that resulted in presentation to a health facility and death (e.g. pneumonia, diarrheal disease, motor vehicle collision)</span><br /><br /><span style=""font-weight: normal;"">Changing incidence of an underlying cause of death or care seeking behaviors can result in change in child mortality, while addressing the immediate cause(s) of death may change management of hospitalized children and improve quality of care. However, efforts to decrease child mortality and to evaluate differences in mortality rates between children HIV-exposed uninfected and children HIV-unexposed requires an understanding of differences between in the underlying cause(s) of death between the two groups, if any.</span></p></div>",,,,,,,,,,,,,
cause_death,inform_health_facilitybased_cause_of_death_event_c,,checkbox,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Using the instructions listed above, please select </span>the underlying cause(s) of death <span style=""font-weight: normal;"">(not immediate cause of death), ranking by primary cause, secondary cause, tertiary, etc:</span></p></div>","1, Anemia | 2, Asthma | 3, Bronchiolitis | 4, Cancer | 5, Congenital Anomalies/Birth Defects | 6, Congestive Cardiac Failure | 7, Croup | 8, Diabetes | 9, Diarrheal Disease | 10, Epilepsy | 11, Gastroenteritis (Both vomiting and diarrhea) | 12, HIV infection | 13, Injury (Accidental or intentional, including animal bite, fall, insect bite/sting, motor collision, physical abuse, poisoning/accidental ingestion, etc) | 14, Kidney Disease | 15, Liver Disease | 16, Malaria | 17, Malnutrition | 18, Measles | 19, Meningitis | 20, Pneumonia | 21, Poisoning/Accidental Ingestion | 22, Sepsis | 23, Sickle Cell Disease | 24, Tuberculosis | 25, Upper Respiratory Tract Infection | 26, Other",,,,,,,,,,,,
other_cause,inform_health_facilitybased_cause_of_death_event_c,,text,"Specify other underlying cause(s) of death ",,,,,,,[cause_death(26)]=1,,,,,,
anemia_rank,inform_health_facilitybased_cause_of_death_event_c,"Please rank the causes of death selected above. Note that if multiple underlying causes of death have been selected, each selection must have a different number. ",dropdown,Anemia,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(1)] = '1'",y,,,,,
asthma_rank_,inform_health_facilitybased_cause_of_death_event_c,,dropdown,"Asthma ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(2)] = '1'",y,,,,,
bronchiolitis_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,Bronchiolitis,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(3)] = '1'",y,,,,,
cancer_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,Cancer,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(4)] = '1'",y,,,,,
congenital_rank,inform_health_facilitybased_cause_of_death_event_c,,dropdown,"Congenital Anomalies/Birth Defects","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27",,,,,,"[cause_death(5)] = '1'",y,,,,,
