"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
tb_labs,hospitalization_laboratory_and_diagnostic_results,,checkbox,"Did this child have a tuberculin skin test (TST) or interferon gamma release assay (IGRA) test within the last 12 months prior to this admission or while admitted?","1, Yes - TST | 2, Yes - IGRA | 0, No | 9, Unknown",,,,,,"[history(2)] = '1' or [physical_exam(5)] = '1'",,,,,,
tst_result,hospitalization_laboratory_and_diagnostic_results,,radio,"What was the result of the TST?","1, Positive | 0, Negative | 2, Indeterminant | 9, Unknown",,,,,,[tb_labs(1)]=1,,,,,,
igra_result,hospitalization_laboratory_and_diagnostic_results,,radio,"What was the result of the IGRA?","1, Positive | 0, Negative | 3, Indeterminant | 9, Unknown",,,,,,[tb_labs(2)]=1,,,,,,
cxr,hospitalization_laboratory_and_diagnostic_results,,checkbox,"Was a CXR performed?","1, Yes | 0, No | 9, Unknown",,,,,,"[tb_labs(2)]=1 and [igra_result]=1",,,,,,
cxr_results,hospitalization_laboratory_and_diagnostic_results,,radio,"<div class=""rich-text-field-label""><p>Which one of the following findings, consistent with diagnoses pulmonary tuberculosis, pneumonia, or bronchiolitis were noted on the CXR? (Select all that apply)</p> <p> </p> <p><span lang=""EN-US"" style=""background: yellow; mso-highlight: yellow;"">[For TB X-ray pictorial examples see </span><span lang=""EN-US""><span style=""mso-field-code: ' HYPERLINK ';""><span class=""MsoHyperlink""><span style=""font-family: 'inherit',serif; border: none windowtext 1.0pt; mso-border-alt: none windowtext 0cm; padding: 0cm;"">https://informaproject site.github.io/INFORM/</span></span></span>]</span></p></div>","1, Normal | 2, Airway compression or tracheal compression | 3, Soft tissue density suggestive of lymphadenopathy | 4, Air space opacification or Consolidation - A dense fluffy opacity occupying a portion or the whole of a lobe or of entire lung that may or may not contain air bronchograms | 5, Other infiltrate - Linear and patchy densities (interstitial infiltrate) in a lacy pattern involving both lung fields, featuring peribronchial thickening and multiple areas of atelectasis that are not of sufficient magnitude to constitute primary endpoint consolidation, and small areas of atelectasis which, in children, may be difficult to distinguish from consolidation. | 6, Nodular appearance, miliary or larger, that is diffuse and bilateral | 7, Pleural effusion - Presence of fluid in the lateral pleural space between the lung and the chest wall; in most cases this will be seen in the costophrenic angle or as a layer of fluid adjacent to the lateral chest wall; this does not include fluid noted in the horizontal or oblique fissures. | 8, Evidence of hyperinflation on CXR (> 8 posterior ribs above the diaphragm) | 9, Cavitary Lesion(s) | 10, Calcified parenchyma (Ghon focus) | 11, Vertebral spondylitis | 12, Uninterpretable - Features of the image are not interpretable with respect to the presence or absence of consolidation and/or other infiltrates",,,,,,"[tb_labs(2)]=1 and [igra_result]=1",,,,,,
tb_culture,hospitalization_laboratory_and_diagnostic_results,,radio,"Did this child have a positive culture or GeneXpert MTB/RIF for Mycobacterium tuberculosis?","1, Yes | 0, No | 9, Unknown",,,,,,,,,,,,
pna_labs,hospitalization_laboratory_and_diagnostic_results,,radio,"Was a sample sent to the laboratory for diagnosis of a pathogen? ","1, Yes | 0, No | 9, Unknown",,,,,,"[history(2)] = '1' or [physical_exam(5)] = '1'",,,,,,
pna_lab_test_types,hospitalization_laboratory_and_diagnostic_results,,radio,"What type of test or tests were performed? (Select all that apply)","1, Gram Stain | 2, Culture | 3, Antigen detection by PCR | 4, Rapid Diagnostic Test",,,,,,[pna_labs]=1,,,,,,
pna_lab_specimen_types,hospitalization_laboratory_and_diagnostic_results,,radio,"Indicate the specimen type or types sent to the laboratory. (Select all that apply)","1, Blood | 2, Nasopharyngeal Swab/Nasopharyngeal aspirate | 3, Oropharyngeal | 4, Pleural Fluid | 5, Sputum | 6, Urine | 7, Wound | 8, Other",,,,,,[pna_labs]=1,,,,,,
other_specimen,hospitalization_laboratory_and_diagnostic_results,,text,"Other, specify",,,,,,,[pna_lab_specimen_types]=8,,,,,,
pna_lab_test_results,hospitalization_laboratory_and_diagnostic_results,,radio,"What organism(s) was detected from the [pna_lab_specimen_types] specimen for this child presenting with a history of [history] or [physical_exam] noted during the physical exam.

(Select all that apply)","1, Bordetella pertussis | 2, Candida spp | 3, Cytomegalovirus | 4, COVID-19 | 5, Enterovirus | 6, Hemophilus influenzae non-type B | 7, Hemophilus influenzae type B | 8, Human metapneumovirus A or B | 9, Influenza A | 10, Moraxella catarrhalis | 11, Mycobacterium tuberculosis | 12, Parainfluenza 1 | 13, Pneumocystis jirovecci | 14, Respiratory Syncytial Virus | 15, Rhinovirus | 16, Staphylococcus aureus | 17, Streptococcus - Group B | 18, Streptococcus pneumoniae | 19, Other | 20, None",,,,,,[pna_labs]=1,,,,,,
other_type,hospitalization_laboratory_and_diagnostic_results,,text,"Other, specify",,,,,,,"[pna_lab_test_results]=1 and [pna_lab_test_results]=19",,,,,,
